00A0 ! 0020 # <noBreak>
FF84 ! 30C8 # <narrow>
FF85 ! 30CA # <narrow>
FF86 ! 30CB # <narrow>
FF87 ! 30CC # <narrow>
FF88 ! 30CD # <narrow>
FF89 ! 30CE # <narrow>
FF8A ! 30CF # <narrow>
FF8B ! 30D2 # <narrow>
FF8C ! 30D5 # <narrow>
FF8D ! 30D8 # <narrow>
FF8E ! 30DB # <narrow>
FF8F ! 30DE # <narrow>
FF90 ! 30DF # <narrow>
FF91 ! 30E0 # <narrow>
FF92 ! 30E1 # <narrow>
FF93 ! 30E2 # <narrow>
FF94 ! 30E4 # <narrow>
FF95 ! 30E6 # <narrow>
FF96 ! 30E8 # <narrow>
FF97 ! 30E9 # <narrow>
FF98 ! 30EA # <narrow>
FF99 ! 30EB # <narrow>
FF9A ! 30EC # <narrow>
FF9B ! 30ED # <narrow>
FF9C ! 30EF # <narrow>
FF9D ! 30F3 # <narrow>
FF9E ! 3099 # <narrow>
FF9F ! 309A # <narrow>
FFA0 ! 3164 # <narrow>
FFA0 ! 1160 # <narrow>
FFA1 ! 3131 # <narrow>
FFA1 ! 1100 # <narrow>
FFA2 ! 3132 # <narrow>
FFA2 ! 1101 # <narrow>
FFA3 ! 3133 # <narrow>
FFA3 ! 11AA # <narrow>
FFA4 ! 3134 # <narrow>
FFA4 ! 1102 # <narrow>
FFA5 ! 3135 # <narrow>
FFA5 ! 11AC # <narrow>
FFA6 ! 3136 # <narrow>
FFA6 ! 11AD # <narrow>
FFA7 ! 3137 # <narrow>
FFA7 ! 1103 # <narrow>
FFA8 ! 3138 # <narrow>
FFA8 ! 1104 # <narrow>
FFA9 ! 3139 # <narrow>
FFA9 ! 1105 # <narrow>
FFAA ! 313A # <narrow>
FFAA ! 11B0 # <narrow>
FFAB ! 313B # <narrow>
FFAB ! 11B1 # <narrow>
FFAC ! 313C # <narrow>
FFAC ! 11B2 # <narrow>
FFAD ! 313D # <narrow>
FFAD ! 11B3 # <narrow>
FFAE ! 313E # <narrow>
FFAE ! 11B4 # <narrow>
FFAF ! 313F # <narrow>
FFAF ! 11B5 # <narrow>
FFB0 ! 3140 # <narrow>
FFB0 ! 111A # <narrow>
FFB1 ! 3141 # <narrow>
FFB1 ! 1106 # <narrow>
FFB2 ! 3142 # <narrow>
FFB2 ! 1107 # <narrow>
FFB3 ! 3143 # <narrow>
FFB3 ! 1108 # <narrow>
FFB4 ! 3144 # <narrow>
FFB4 ! 1121 # <narrow>
FFB5 ! 3145 # <narrow>
FFB5 ! 1109 # <narrow>
FFB6 ! 3146 # <narrow>
FFB6 ! 110A # <narrow>
FFB7 ! 3147 # <narrow>
FFB7 ! 110B # <narrow>
FFB8 ! 3148 # <narrow>
FFB8 ! 110C # <narrow>
FFB9 ! 3149 # <narrow>
FFB9 ! 110D # <narrow>
FFBA ! 314A # <narrow>
FFBA ! 110E # <narrow>
FFBB ! 314B # <narrow>
FFBB ! 110F # <narrow>
FFBC ! 314C # <narrow>
FFBC ! 1110 # <narrow>
FFBD ! 314D # <narrow>
FFBD ! 1111 # <narrow>
FFBE ! 314E # <narrow>
FFBE ! 1112 # <narrow>
FFC2 ! 314F # <narrow>
FFC2 ! 1161 # <narrow>
FFC3 ! 3150 # <narrow>
FFC3 ! 1162 # <narrow>
FFC4 ! 3151 # <narrow>
FFC4 ! 1163 # <narrow>
FFC5 ! 3152 # <narrow>
FFC5 ! 1164 # <narrow>
FFC6 ! 3153 # <narrow>
FFC6 ! 1165 # <narrow>
FFC7 ! 3154 # <narrow>
FFC7 ! 1166 # <narrow>
FFCA ! 3155 # <narrow>
FFCA ! 1167 # <narrow>
FFCB ! 3156 # <narrow>
FFCB ! 1168 # <narrow>
FFCC ! 3157 # <narrow>
FFCC ! 1169 # <narrow>
FFCD ! 3158 # <narrow>
FFCD ! 116A # <narrow>
FFCE ! 3159 # <narrow>
FFCE ! 116B # <narrow>
FFCF ! 315A # <narrow>
FFCF ! 116C # <narrow>
FFD2 ! 315B # <narrow>
FFD2 ! 116D # <narrow>
FFD3 ! 315C # <narrow>
FFD3 ! 116E # <narrow>
FFD4 ! 315D # <narrow>
FFD4 ! 116F # <narrow>
FFD5 ! 315E # <narrow>
FFD5 ! 1170 # <narrow>
FFD6 ! 315F # <narrow>
FFD6 ! 1171 # <narrow>
FFD7 ! 3160 # <narrow>
FFD7 ! 1172 # <narrow>
FFDA ! 3161 # <narrow>
FFDA ! 1173 # <narrow>
FFDB ! 3162 # <narrow>
FFDB ! 1174 # <narrow>
FFDC ! 3163 # <narrow>
FFDC ! 1175 # <narrow>
FFE0 ! 00A2 # <wide>
FFE1 ! 00A3 # <wide>
FFE2 ! 00AC # <wide>
FFE3 ! 00AF # <wide>
FFE4 ! 00A6 # <wide>
FFE5 ! 00A5 # <wide>
FFE6 ! 20A9 # <wide>
FFE8 ! 2502 # <narrow>
FFE9 ! 2190 # <narrow>
FFEA ! 2191 # <narrow>
FFEB ! 2192 # <narrow>
FFEC ! 2193 # <narrow>
FFED ! 25A0 # <narrow>
FFEE ! 25CB # <narrow>
